"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R87";"R4valmsk";1;"390k";;;
2;"R86,R29";"R4optmsk";2;"OMIT";;;
4;"C11,C16";"C1V7msk";2;"10uF";;;
5;"D4,D5";"DO15msk";2;"1N5818";;;
6;"P7,P8,P9,P10,P13,P16,P22,P23,P1,P2,P3,P4,P5,P6,P12,P14,P15";"1x01msk";17;"CONN_01X01";;;
7;"P24";"2x05msk";1;"CONN_02X05";;;
8;"R1";"R4valmsk";1;"6.8k";;;
9;"R2";"R4valmsk";1;"5.6k";;;
10;"R3";"R4valmsk";1;"3.6k";;;
11;"R10,R11,R12,R13,R14,R15,R36,R37,R41,R42";"R4optmsk";10;"140k";;;
12;"R16,R17,R18,R19,R20,R21,R45,R46,R47,R48";"R4valmsk";10;"1k";;;
13;"R22";"R4valmsk";1;"7.5k";;;
14;"R23";"R4valmsk";1;"6.2k";;;
15;"R31";"R4optmsk";1;"910k";;;
16;"R33";"R4optmsk";1;"820k";;;
17;"R35";"R4optmsk";1;"22k";;;
18;"R39";"R4optmsk";1;"24k";;;
19;"R44";"R4optmsk";1;"4.3k";;;
21;"R43";"3296Ymsk";1;"200";;;
22;"R38,R26,R9,R8,R7,R27";"3296Ymsk";6;"2k";;;
23;"R34";"3296Ymsk";1;"1k";;;
24;"R32,R30,R50";"3296Ymsk";3;"100k";;;
25;"R28";"3296Ymsk";1;"OMIT";;;
