"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q13";"TO92Xmsk";12;"SS8550D";;;
2;"U8";"TO92msk";1;"78L09";;;
3;"C2";"C2_3x2msk";1;"0.47uF";;;
4;"C21,C20,C9,C8,C7";"C6_multimsk";5;"470pF 1%";;;
5;"R88";"R4valmsk";1;"680k";;;
6;"R90";"R4valmsk";1;"1M";;;
6;"R87";"R4valmsk";1;"390k";;;
7;"R86,R29";"R4optmsk";2;"OMIT";;;
8;"C19,C11,C16,C28";"C1V7msk";4;"10uF";;;
9;"P44,J10,P42,J9,P40,J8,J7,P26";"SIP10msk";8;"CONN_01X10";;;
10;"C1,C3,C4,C5,C6,C10,C12,C13,C14,C15,C17,C18,C22,C23,C24,C26,C27,C30,C31";"C3msk";19;"0.1uF";;;
11;"C25";"C2msk";1;"100pF";;;
12;"C29";"C2msk";1;"22pF";;;
13;"D1,D3";"DO35msk";2;"1N4148";;;
14;"D4,D5";"DO15msk";2;"1N5818";;;
15;"D6,D8";"DO35msk";2;"1N5233B";;;
16;"D7,D9";"DO35msk";2;"1N5230B";;;
17;"J1,J2,J3,J4,J5,J6";"mono_jack_up";6;"1502 03";;;
18;"P7,P8,P9,P10,P13,P16,P22,P23,P1,P2,P3,P4,P5,P6,P11,P12,P14,P15,P17,P19";"1x01msk";20;"CONN_01X01";;;
19;"P24";"2x05msk";1;"CONN_02X05";;;
20;"Q12,Q14,Q15";"TO92msk";3;"2N5088";;;
21;"R1";"R4valmsk";1;"6.8k";;;
22;"R2,R4,R5,R6,R24,R25,R60";"R4valmsk";7;"5.6k";;;
23;"R3";"R4valmsk";1;"3.6k";;;
24;"R10,R11,R12,R13,R14,R15,R36,R37,R41,R42";"R4optmsk";10;"140k";;;
25;"R16,R17,R18,R19,R20,R21,R45,R46,R47,R48,R52,R53,R80";"R4valmsk";13;"1k";;;
26;"R22";"R4valmsk";1;"7.5k";;;
27;"R23";"R4valmsk";1;"6.2k";;;
28;"R31";"R4optmsk";1;"910k";;;
29;"R33";"R4optmsk";1;"820k";;;
30;"R35";"R4optmsk";1;"22k";;;
31;"R39";"R4optmsk";1;"24k";;;
32;"R40";"R4valmsk";1;"4.3k";;;
33;"R44";"R4optmsk";1;"4.3k";;;
34;"R49";"R4valmsk";1;"8.2k";;;
35;"R51";"R4valmsk";1;"140k";;;
36;"R54";"R4valmsk";1;"2.4k";;;
37;"R55";"R4valmsk";1;"150k";;;
38;"R57,R64,R65,R66,R70,R79,R83,R85";"R4valmsk";8;"100k";;;
39;"R58";"R4valmsk";1;"3.3k";;;
40;"R59,R61";"R4valmsk";2;"91k";;;
41;"R63";"R4valmsk";1;"68k";;;
42;"R67";"R4valmsk";1;"11k";;;
43;"R68";"R4valmsk";1;"27k";;;
44;"R71";"R4valmsk";1;"10k NTC";;;
45;"R72,R76";"R4valmsk";2;"2.7k";;;
46;"R73";"R4valmsk";1;"240k";;;
47;"R74";"R4valmsk";1;"4.7M";;;
48;"R75";"R4valmsk";1;"22k";;;
49;"R82";"R4valmsk";1;"10k";;;
50;"R84";"R4valmsk";1;"39k";;;
51;"U1,U2,U6";"DIP16msk";3;"LM13700";;;
52;"U3,U4,U5,U7,U10";"DIP14msk";5;"TL074";;;
53;"U9";"TO92msk";1;"TL431";;;
54;"R77";"3296Pmsk";1;"500";;;
55;"H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12";"MountingHole_M3";12;"CONN_01X01";;;
56;"C32";"C2_3x2msk";1;"JUMP";;;
57;"R50,R32,R30";"3296Ymsk";3;"100k";;;
58;"R43";"3296Ymsk";1;"200";;;
59;"R38,R26,R9,R8,R7,R27";"3296Ymsk";6;"2k";;;
60;"R34";"3296Ymsk";1;"1k";;;
61;"R28";"3296Ymsk";1;"OMIT";;;
62;"R56,R62,R69,R78,R81";"P260Tpot";5;"100k";;;
63;"SW3";"ESwitch100DP";1;"100DP1T1B1M2";;;
64;"H13,H14,H15,H16";"Hardware";4;"HexNut";;;
65;"H17,H18,H19,H20";"Hardware";4;"M3x13";;;
66;"H21,H22,H23,H24,H25,H26,H27,H28";"Hardware";8;"M3x11";;;
67;"H29,H30,H31,H32,H33,H34,H35,H36";"Hardware";8;"M3x6";;;
67;"H37,H38,H39,H40";"Hardware";4;"nylon";;;
68;"R89";"3296Pmsk";1;"100k";;;
