"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C7,C8";"C3msk";2;"0.1uF";;;
2;"C5,C6";"C2msk";2;"33pF";;;
6;"J1,J2,J3,J4,J5,J6,J7,J8";"mono_jack_slotted";8;"JACK_2P";;;
14;"H5,H6";"Hardware";2;"HexNut";;;
15;"H7,H8";"Hardware";2;"M3x10";;;
15;"H9,H10";"Hardware";2;"M3x11";;;
16;"H11,H12";"Hardware";2;"M3x6";;;
13;"D11,D12";"LEDmsk";2;"MCL056PURGW";;;
18;"D14,D16,D18,D20";"DO35_3msk";4;"1N4148";;;
23;"R13,R14";"R35valmsk";2;"75k";;;
24;"R15,R16";"R35valmsk";2;"1M";;;
28;"R37,R38,R39,R40,R41,R42,R43,R44,R45,R46";"R35valmsk";10;"100k*";;;
29;"R47,R48";"R35valmsk";2;"1k";;;
30;"R49,R51";"R35valmsk";2;"1.2k";;;
31;"R50,R52,R53,R54";"R35valmsk";4;"910";;;
32;"SW2,SW1";"ESwitch100SP";2;"100SP3T1B1M1QEH";;;
12;"U5";"DIP14msk";1;"socket";;;
12;"U5";"DIP14msk";1;"TL074B";;;
11;"U3,U4";"DIP14msk";2;"LM339";;;
