"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C4,C7,C8";"C3msk";6;"0.1uF";;;
2;"C5,C6";"C2msk";2;"33pF";;;
3;"C9,C10,C11,C12";"C1V7msk";4;"10uF";;;
4;"D9,D10";"DO15msk";2;"1N5818";;;
5;"H1,H2,H3,H4";"MountingHole_M3";4;"CONN_01X01";;;
6;"J1,J2,J3,J4,J5,J6,J7,J8";"mono_jack_up";8;"JACK_2P";;;
7;"P1";"2x05msk";1;"CONN_02X05";;;
8;"R3";"3296Ymsk";1;"1k";;;
9;"R27,R32";"3296Ymsk";2;"50k";;;
10;"U1,U2";"TO92msk";2;"TL431_TO92";;;
11;"U3,U4";"DIP14msk";2;"LM339";;;
12;"U5";"DIP14msk";1;"TL074B";;;
13;"D11,D12";"LEDmsk";2;"MCL056PURGW";;;
14;"H5,H6";"Hardware";2;"HexNut";;;
15;"H7,H8";"Hardware";2;"M3x10";;;
15;"H9,H10";"Hardware";2;"M3x11";;;
16;"H11,H12,H13,H14,H15,H16";"Hardware";6;"M3x6";;;
16;"H17,H18,H19,H20";"Hardware";4;"nylon";;;
17;"J9,P2";"SIP12msk";2;"CONN_01X12";;;
18;"D1,D2,D3,D4,D5,D6,D7,D8,D13,D14,D15,D16,D17,D18,D19,D20";"DO35_3msk";16;"1N4148";;;
19;"R1,R5,R8,R12";"R35valmsk";4;"8.2k";;;
20;"R2,R4";"R35valmsk";2;"6.8k";;;
21;"R6,R7";"R35valmsk";2;"1.8k";;;
22;"R9,R10,R11";"R35valmsk";3;"2.7k";;;
23;"R13,R14";"R35valmsk";2;"75k";;;
24;"R15,R16";"R35valmsk";2;"1M";;;
25;"R17,R22";"R35valmsk";2;"200k";;;
26;"R18,R19,R20,R21,R23,R24,R25,R26";"R35valmsk";8;"47k";;;
27;"R28,R29,R30,R31,R33,R34,R35,R36";"R35valmsk";8;"499k*";;;
28;"R37,R38,R39,R40,R41,R42,R43,R44,R45,R46";"R35valmsk";10;"100k*";;;
29;"R47,R48";"R35valmsk";2;"1k";;;
30;"R49,R51";"R35valmsk";2;"1.2k";;;
31;"R50,R52,R53,R54";"R35valmsk";4;"910";;;
32;"SW2,SW1";"ESwitch100SP";2;"100SP3T1B1M1QEH";;;
