6;"C3,C2";"C2_3x2msk";2;"6800pF";;;
8;"C4,C5";"C1V7msk";2;"10uF";;;
9;"C8,C9,C10,C11";"C3msk";4;"0.1uF";;;
11;"D2,D3";"DO15msk";2;"1N5818";;;
19;"L1,L2";"L8msk";2;"22mH";;;
20;"P2";"2x05msk";1;"CONN_02X05";;;
22;"R18,R28";"R4valmsk";2;"100k";;;
24;"R19,R29";"R4valmsk";2;"220k";;;
31;"R20,R30";"3386Pmsk";2;"100k";;;
32;"R21,R26,R31,R36";"R4valmsk";4;"27k";;;
33;"R22,R23,R32,R33";"R4valmsk";4;"510";;;
34;"R24,R34";"R4valmsk";2;"9.1k";;;
35;"R25,R35";"R4valmsk";2;"10k";;;
36;"U2";"DIP14msk";1;"socket";;;
37;"U3";"DIP16msk";1;"socket";;;
