"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P1";"SIP10-pins";1;"CONN_01X10";;;
2;"J8";"SIP10-socket";1;"CONN_01X10";;;
3;"R38";"R4valmsk";1;"22k";;;
4;"D5,D4";"DO35msk";2;"1N5230B";;;
5;"C12";"C2msk";1;"33pF";;;
6;"C3,C2";"C2_3x2msk";2;"6800pF";;;
7;"C1";"C2msk";1;"100pF";;;
8;"C4,C5";"C1V7msk";2;"10uF";;;
9;"C6,C7,C8,C9,C10,C11";"C3msk";6;"0.1uF";;;
10;"D1";"DO35msk";1;"1N4148";;;
11;"D2,D3";"DO15msk";2;"1N5818";;;
12;"H1,H2";"Hardware";2;"M3";;;
13;"H3,H4";"Hardware";2;"M3x11";;;
14;"H5,H6,H9,H10";"MountingHole_M3";4;"CONN_01X01";;;
15;"H7,H8";"Hardware";2;"M3x13";;;
16;"H11,H12,H13,H14";"Hardware";4;"nylon";;;
17;"H15,H16,H17,H18,H19,H20";"Hardware";6;"M3x6";;;
18;"J1,J2,J3,J4,J5,J6,J7";"mono_jack_slotted";7;"1502 03";;;
19;"L1,L2";"L8msk";2;"22mH";;;
20;"P2";"2x05msk";1;"CONN_02X05";;;
21;"Q1,Q2";"TO92Xmsk";2;"SS8550D";;;
22;"R1,R3,R12,R13,R14,R18,R28";"R4valmsk";7;"100k";;;
23;"R2,R4,R16";"P260Tpot";3;"100k";;;
24;"R5,R8,R19,R29";"R4valmsk";4;"220k";;;
25;"R6";"R4valmsk";1;"1.8k";;;
26;"R7";"R4valmsk";1;"2.7k";;;
27;"R9,R17";"R4valmsk";2;"51k";;;
28;"R10";"R4valmsk";1;"18k";;;
29;"R11";"R4valmsk";1;"36k";;;
30;"R15,R27,R37";"R4valmsk";3;"1k";;;
31;"R20,R30";"3386Pmsk";2;"100k";;;
32;"R21,R26,R31,R36";"R4valmsk";4;"27k";;;
33;"R22,R23,R32,R33";"R4valmsk";4;"510";;;
34;"R24,R34";"R4valmsk";2;"9.1k";;;
35;"R25,R35";"R4valmsk";2;"10k";;;
36;"U1,U2";"DIP14msk";2;"TL074";;;
37;"U3";"DIP16msk";1;"LM13700";;;
