"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H3,H4";"Hardware";2;"nylon";;;
2;"H1,H2";"Hardware";2;"M3x6";;;
3;"C2,C3";"C1V7msk";2;"10uF";;;
4;"C4,C5";"C3msk";2;"0.1uF";;;
5;"C1";"C2_3x2msk";1;"4.7uF";;;
6;"D1,D2";"DO15msk";2;"1N5818";;;
7;"J7";"2x05msk";1;"CONN_02X05";;;
8;"Q1,Q2,Q3,Q6,Q5,Q4";"TO92msk";6;"2N5088";;;
9;"R6,R1";"R4valmsk";2;"100k";;;
10;"R2,R3,R4,R5";"260Pmsk";4;"100k";;;
11;"R12,R13,R14,R15";"R4valmsk";4;"47k";;;
12;"R8,R9,R20,R10,R11";"R4valmsk";5;"22k";;;
13;"R22";"R4valmsk";1;"4.7k";;;
14;"R18";"R4valmsk";1;"5.9k";;;
15;"R24,R16";"R4valmsk";2;"330k";;;
16;"R21";"R4valmsk";1;"12k";;;
17;"R17";"R4valmsk";1;"2.7k";;;
18;"R23,R19";"R4valmsk";2;"510";;;
19;"R7";"3386Pmsk";1;"100k";;;
20;"J1,J2,J3,J4,J5,J6";"jack_ra_slotted_msk";6;"JACK_2P";;;
