"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H32,H31,H30,H29";"Hardware";4;"M3";;;
2;"H28,H27,H26,H25";"Hardware";4;"M3x11";;;
3;"H24,H23,H22,H21";"Hardware";4;"M3x10";;;
5;"H12,H11,H10,H9";"Hardware";4;"M3x6";;;
6;"U10";"DIP08msk";1;"socket";;;
7;"J25,J24";"SPDTjright";2;"JUMP";;;
8;"U1";"DIP14msk";1;"socket";;;
9;"C16,C15";"C2msk";2;"6800pF";;;
11;"P4,P3,P2";"SIP10-pins";3;"CONN_01X10";;;
10;"R71,R140,R88,R86,R84,R38,R37,R33,R2,R1,R44,R8";"R4valmsk";10;"100k";;;
11;"R39,R89,R87,R85,R72,R43,R41,R34,R7,R5,R3";"P0915Npot";11;"100k";;;
12;"R46,R10";"3296Pmsk";2;"50k";;;
13;"R74,R83,R69,R61,R58,R36,R31,R23,R20";"R4valmsk";9;"1k";;;
14;"J23,J22,J21";"SIP10-socket";3;"CONN_01X10";;;
15;"U13";"TO92msk";1;"78L09";;;
16;"S1";"ESwitch100SP";1;"SWITCH_INV";;;
17;"R105,R93";"R4valmsk";2;"680";;;
18;"R92,R91";"R4valmsk";2;"27k";;;
19;"R90";"R4valmsk";1;"68k";;;
20;"R70,R32";"R4valmsk";2;"56k";;;
21;"R51";"R4valmsk";1;"10k";;;
22;"R50";"R4valmsk";1;"6.8k";;;
23;"R45,R9";"R4valmsk";2;"130k";;;
25;"R42,R6";"R4valmsk";2;"1.8M";;;
26;"R40,R4";"R4valmsk";2;"91k";;;
27;"J20,J19,J18,J17,J16,J15,J14,J13,J12,J11,J10,J9,J8,J7,J6,J5,J4,J3,J2,J1";"mono_jack_slotted";20;"JACK_2P";;;
28;"H4,H3,H2,H1";"MountingHole_M3";4;"CONN_01X01";;;
29;"D10,D9,D8,D5,D4,D2,D1";"DO35_3msk";7;"1N5231B";;;
30;"D3";"DO35_3msk";1;"1N4148";;;
31;"C34,C33,C32,C28,C27";"C3msk";5;"0.1uF";;;
32;"C31";"C1V7msk";1;"10uF";;;
6;"U6,U7";"DIP08msk";2;"AD633";;;
7;"U10,U9,U8";"DIP08msk";3;"LF353";;;
13;"U4,U3,U2,U1,U5";"DIP14msk";5;"TL074";;;
14;"Q1";"DIP14msk";1;"THAT320";;;
16;"U11,U12";"DIP16msk";2;"LM13700";;;
