"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U6,U7";"DIP08msk";2;"socket";;;
2;"U9,U8";"DIP08msk";2;"socket";;;
3;"C8,C38,C37,C36,C35,C23,C22,C21,C20,C18,C17,C14,C13,C9,C7,C6,C4,C3,C2,C1";"C3msk";20;"0.1uF";;;
4;"D6,D7";"DO15msk";2;"1N5818";;;
5;"R142,R141,R139,R134,R127";"R4valmsk";5;"1k";;;
6;"P1";"2x08ra";1;"CONN_02X08";;;
7;"U4,U3,U2,U5";"DIP14msk";4;"socket";;;
8;"Q1";"DIP14msk";1;"socket";;;
9;"R136,R135,R131,R130,R129,R128,R124,R123,R119,R118,R117,R116";"R4valmsk";12;"18k";;;
10;"U11,U12";"DIP16msk";2;"socket";;;
12;"R138,R137,R133,R132,R126,R125,R54,R16";"R4valmsk";8;"39k";;;
13;"R122";"R4valmsk";1;"22k";;;
14;"R121,R120,R68,R67,R66,R30,R29,R28";"R4valmsk";8;"27k";;;
15;"R115,R114,R113,R112,R111,R110,R109,R108,R107,R106,R73,R35";"R4valmsk";12;"100k";;;
16;"R104,R103,R102,R101,R100,R99,R98,R97,R96,R95,R94";"R4valmsk";11;"680";;;
17;"R82,R78,R60,R49,R22,R13";"R4valmsk";6;"6.8k";;;
18;"R81";"R4valmsk";1;"1M";;;
19;"R80,R76,R48,R12";"R4valmsk";4;"100";;;
20;"R79,R75,R47,R11";"R4valmsk";4;"270";;;
21;"R77,R57,R19";"R4valmsk";3;"10k";;;
22;"R65,R27";"R4valmsk";2;"12k";;;
23;"R64,R26";"R4valmsk";2;"36k";;;
24;"R63,R25";"3386Pmsk";2;"10k";;;
25;"R62,R24";"R4valmsk";2;"24k";;;
26;"R59,R56,R55,R53,R21,R18,R17,R15";"R4valmsk";8;"2.7k";;;
27;"R52,R14";"R4valmsk";2;"8.2k";;;
28;"Q16,Q15,Q14,Q13,Q12,Q11,Q10,Q9,Q8,Q7,Q6,Q5,Q4";"TO92msk";13;"2N3904";;;
29;"Q3,Q2";"TO92Xmsk";2;"2N7000";;;
30;"H8,H7,H6,H5";"MountingHole_M3";4;"CONN_01X01";;;
31;"C41,C40,C39,C26,C25,C24,C12,C11,C10";"C2msk";9;"100pF";;;
32;"C30,C29";"C1V7msk";2;"10uF";;;
33;"C19,C5";"C2msk";2;"1200pF";;;
