"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H32,H31,H30,H29";"Hardware";4;"M3";;;
2;"H28,H27,H26,H25";"Hardware";4;"M3x11";;;
3;"H24,H23,H22,H21";"Hardware";4;"M3x10";;;
4;"H20,H19,H18,H17";"Hardware";4;"nylon";;;
5;"H16,H15,H14,H13,H12,H11,H10,H9";"Hardware";8;"M3x6";;;
6;"U6,U7";"DIP08msk";2;"AD633";;;
7;"U10,U9,U8";"DIP08msk";3;"LF353";;;
8;"C8,C38,C37,C36,C35,C34,C33,C32,C28,C27,C23,C22,C21,C20,C18,C17,C14,C13,C9,C7,C6,C4,C3,C2,C1";"C3msk";25;"0.1uF";;;
9;"J25,J24";"SPDTjright";2;"JUMP";;;
10;"D6,D7";"DO15msk";2;"1N5818";;;
11;"R142,R141,R139,R134,R127,R83,R74,R69,R61,R58,R36,R31,R23,R20";"R4valmsk";14;"1k";;;
12;"P1";"2x08ra";1;"CONN_02X08";;;
13;"U4,U3,U2,U1,U5";"DIP14msk";5;"TL074";;;
14;"Q1";"DIP14msk";1;"THAT320";;;
15;"R136,R135,R131,R130,R129,R128,R124,R123,R119,R118,R117,R116";"R4valmsk";12;"18k";;;
16;"U11,U12";"DIP16msk";2;"LM13700";;;
17;"C16,C15";"C2msk";2;"6800pF";;;
18;"R71,R140,R115,R114,R113,R112,R111,R110,R109,R108,R107,R106,R88,R86,R84,R73,R38,R37,R35,R33,R2,R1,R44,R8";"R4valmsk";22;"100k";;;
19;"R39,R89,R87,R85,R72,R43,R41,R34,R7,R5,R3";"P0915Npot";11;"100k";;;
20;"R46,R10";"3296Pmsk";2;"50k";;;
21;"P4,P3,P2";"SIP10-pins";3;"CONN_01X10";;;
22;"J23,J22,J21";"SIP10-socket";3;"CONN_01X10";;;
23;"U13";"TO92msk";1;"78L09";;;
24;"S1";"ESwitch100SP";1;"SWITCH_INV";;;
25;"R138,R137,R133,R132,R126,R125,R54,R16";"R4valmsk";8;"39k";;;
26;"R122";"R4valmsk";1;"22k";;;
27;"R121,R120,R92,R91,R68,R67,R66,R30,R29,R28";"R4valmsk";10;"27k";;;
28;"R105,R104,R103,R102,R101,R100,R99,R98,R97,R96,R95,R94,R93";"R4valmsk";13;"680";;;
29;"R90";"R4valmsk";1;"68k";;;
30;"R82,R78,R60,R50,R49,R22,R13";"R4valmsk";7;"6.8k";;;
31;"R81";"R4valmsk";1;"1M";;;
32;"R80,R76,R48,R12";"R4valmsk";4;"100";;;
33;"R79,R75,R47,R11";"R4valmsk";4;"270";;;
34;"R77,R57,R51,R19";"R4valmsk";4;"10k";;;
35;"R70,R32";"R4valmsk";2;"56k";;;
36;"R65,R27";"R4valmsk";2;"12k";;;
37;"R64,R26";"R4valmsk";2;"36k";;;
38;"R63,R25";"3386Pmsk";2;"10k";;;
39;"R62,R24";"R4valmsk";2;"24k";;;
40;"R59,R56,R55,R53,R21,R18,R17,R15";"R4valmsk";8;"2.7k";;;
41;"R52,R14";"R4valmsk";2;"8.2k";;;
42;"R45,R9";"R4valmsk";2;"130k";;;
44;"R42,R6";"R4valmsk";2;"1.8M";;;
45;"R40,R4";"R4valmsk";2;"91k";;;
46;"Q16,Q15,Q14,Q13,Q12,Q11,Q10,Q9,Q8,Q7,Q6,Q5,Q4";"TO92msk";13;"2N3904";;;
47;"Q3,Q2";"TO92Xmsk";2;"2N7000";;;
48;"J20,J19,J18,J17,J16,J15,J14,J13,J12,J11,J10,J9,J8,J7,J6,J5,J4,J3,J2,J1";"mono_jack_slotted";20;"JACK_2P";;;
49;"H8,H7,H6,H5,H4,H3,H2,H1";"MountingHole_M3";8;"CONN_01X01";;;
50;"D10,D9,D8,D5,D4,D2,D1";"DO35_3msk";7;"1N5231B";;;
51;"D3";"DO35_3msk";1;"1N4148";;;
52;"C41,C40,C39,C26,C25,C24,C12,C11,C10";"C2msk";9;"100pF";;;
53;"C31,C30,C29";"C1V7msk";3;"10uF";;;
54;"C19,C5";"C2msk";2;"1200pF";;;
6;"U6,U7";"DIP08msk";2;"socket";;;
7;"U10,U9,U8";"DIP08msk";3;"socket";;;
13;"U4,U3,U2,U1,U5";"DIP14msk";5;"socket";;;
14;"Q1";"DIP14msk";1;"socket";;;
16;"U11,U12";"DIP16msk";2;"socket";;;
