"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
2;"U5,U4";"DIP14msk_clipped";2;"LM224";;;
2;"U5,U4";"DIP14msk_clipped";2;"socket";;;
9;"R33,R32,R31,R22,R13";"R4valmsk";5;"10k";;;
12;"J11";"USB_A_vert";1;"USB_A";;;
13;"J6,J5,J4,J3,J2,J1";"mono_jack_slotted";6;"JACK_2P";;;
15;"P3,P2";"SIP10-pins";2;"CONN_01X10";;;
16;"J8,J7";"SIP10-socket";2;"CONN_01X10";;;
17;"H20,H19";"Hardware";4;"M3x6";;;
19;"H10,H9";"Hardware";2;"M3x13";;;
20;"H8,H7";"Hardware";2;"M3x11";;;
21;"H6,H5";"Hardware";2;"HexNut";;;
23;"D6,D5";"LEDmsk";2;"MCL056PURGW";;;
28;"R30,R29,R26,R25";"R4valmsk";4;"1k";;;
29;"R28,R27,R24,R23";"R4valmsk";4;"18k";;;
31;"R18,R16,R2,R1";"R4valmsk";4;"100k";;;
32;"R17,R15";"R4valmsk";2;"270";;;
33;"R14";"R4valmsk";1;"2.4k";;;
36;"R6,R5";"R4valmsk";2;"330k";;;
37;"R4,R3";"R4valmsk";2;"390k";;;
40;"C20,C19,C14,C13";"C2msk";4;"100pF";;;
41;"C18,C17,C2,C1";"C3msk";4;"0.1uF";;;
