1;"P5";"1x01msk";1;"CONN_01X01";;;
3;"Y1";"DIP08_xtal";1;"4.00 MHz";;;
4;"C11";"C2msk";1;"10uF";;;
5;"C7,C6,C4,C3";"C08msk";4;"10uF";;;
6;"F1";"C2msk";1;"200mA";;;
7;"C5";"1x02msk";1;"150uF";;;
8;"J9";"2x05msk";1;"CONN_02X05";;;
9;"R21";"R4valmsk";1;"10k";;;
10;"R7,R8";"R4valmsk";2;"27k";;;
11;"P1";"2x08ra";1;"Conn_02x08_Odd_Even";;;
14;"U3";"DIP08msk";1;"23LC1024";;;
25;"U6";"TO92msk";1;"MCP1700-3302";;;
26;"U2";"DIP08msk";1;"MCP4822";;;
27;"U1";"SDIP28_clipped";1;"PIC24FJ64GB002";;;
30;"R20,R19";"R4valmsk";2;"2k";;;
34;"R12,R10";"R4valmsk";2;"12k";;;
35;"R11,R9";"R4valmsk";2;"8.2k";;;
39;"D4,D3,D2,D1";"DO15msk";4;"1N5818";;;
41;"C16,C15,C12,C10,C9,C8";"C3msk";6;"0.1uF";;;
