"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P5";"1x01msk";1;"CONN_01X01";;;
2;"U5,U4";"DIP14msk_clipped";2;"LM224";;;
2;"U5,U4";"DIP14msk_clipped";2;"socket";;;
3;"Y1";"DIP08_xtal";1;"4.00 MHz";;;
4;"C11";"C2msk";1;"10uF";;;
5;"C7,C6,C4,C3";"C08msk";4;"10uF";;;
6;"F1";"C2msk";1;"200mA";;;
7;"C5";"1x02msk";1;"150uF";;;
8;"J9";"2x05msk";1;"CONN_02X05";;;
9;"R33,R32,R31,R22,R21,R13";"R4valmsk";6;"10k";;;
10;"R7,R8";"R4valmsk";2;"27k";;;
11;"P1";"2x08ra";1;"Conn_02x08_Odd_Even";;;
12;"J11";"USB_A_vert";1;"USB_A";;;
13;"J6,J5,J4,J3,J2,J1";"mono_jack_slotted";6;"JACK_2P";;;
14;"U3";"DIP08msk";1;"23LC1024";;;
15;"P3,P2";"SIP10-pins";2;"CONN_01X10";;;
16;"J8,J7";"SIP10-socket";2;"CONN_01X10";;;
17;"H20,H19,H18,H17,H16,H15";"Hardware";6;"M3x6";;;
19;"H10,H9";"Hardware";2;"M3x13";;;
20;"H8,H7";"Hardware";2;"M3x11";;;
21;"H6,H5";"Hardware";2;"HexNut";;;
23;"D6,D5";"LEDmsk";2;"MCL056PURGW";;;
25;"U6";"TO92msk";1;"MCP1700-3302";;;
26;"U2";"DIP08msk";1;"MCP4822";;;
27;"U1";"SDIP28_clipped";1;"PIC24FJ64GB002";;;
28;"R30,R29,R26,R25";"R4valmsk";4;"1k";;;
29;"R28,R27,R24,R23";"R4valmsk";4;"18k";;;
30;"R20,R19";"R4valmsk";2;"2k";;;
31;"R18,R16,R2,R1";"R4valmsk";4;"100k";;;
32;"R17,R15";"R4valmsk";2;"270";;;
33;"R14";"R4valmsk";1;"2.4k";;;
34;"R12,R10";"R4valmsk";2;"12k";;;
35;"R11,R9";"R4valmsk";2;"8.2k";;;
36;"R6,R5";"R4valmsk";2;"330k";;;
37;"R4,R3";"R4valmsk";2;"390k";;;
39;"D4,D3,D2,D1";"DO15msk";4;"1N5818";;;
40;"C20,C19,C14,C13";"C2msk";4;"100pF";;;
41;"C18,C17,C16,C15,C12,C10,C9,C8,C2,C1";"C3msk";10;"0.1uF";;;
67;"H11,H12,H13,H14";"Hardware";4;"nylon";;;
